price,bedrooms,bathrooms,sqft_living,sqft_lot,sqft_above,sqft_basement,medn_hshld_incm_amt,medn_incm_per_prsn_amt,dif_sqft_living,dif_sqft_lot
,,,,,,,,,,
,,,,,,,,,,7654.0
,,,4380.0,,,1600.0,,,2550.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,-4382.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,-3788.0
1450000.0,,,,,,,,,,6514.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,111078.0,,1490.0,,,1470.0,22578.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,315374.0,,,,,,227383.0
,,,,,,,,,,
,,,,60984.0,,,,,,-132858.0
,,,,,,,,,,-5500.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2250000.0,,,5180.0,19850.0,,1640.0,,,2020.0,10100.0
,1.0,,,,,,,,,
,,,,,,,,,,
,,,,25245.0,,1460.0,,,1320.0,11570.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,-3048.0
,,,,,,,,,,
,,,,,,,,,,4002.0
,,,,,,,,,,
,,,,38332.0,,,,,,
,,,,,,,,,,
,,,,,,,,,,-2500.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,21000.0,,,,,,13080.0
,,,,,,,,,,
,,,,,,,,,,
,,,,35003.0,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,3250.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,3428.0
,,,,,,2000.0,,,1550.0,2580.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,53799.0,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,66211.0,,,,,,
,,,,155073.0,,,,,,104108.0
,,,,,,,,,,
,,,,,,,,,,4502.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,53799.0,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,-4680.0
,6.0,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,-2430.0
,,,,,,,,,,
1505000.0,,,,33474.0,,1430.0,,53799.0,,12521.0
,,,,,,,,,,
,,,,,,1950.0,,,1320.0,9680.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,19436.0,,,,,,9381.0
,,,,,,,,,,6437.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,96028.0,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,96028.0,,,
,,,,,,,,,,2605.0
,,,,,,,,,,
,6.0,,,,,,,,,
,,,,,,,,,,-3502.0
,,,,,,,,,,
,,4.0,,28040.0,3760.0,,,,,-7056.0
,,,,94300.0,,,,,,14200.0
,,,,,,,,,,
,,,,221284.0,,,,,,72745.0
,6.0,,4410.0,,,2060.0,,,1810.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2400000.0,,,,,,1820.0,,,,-10487.0
,,,,,,,,,,2554.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,36224.0,,,,,,
,,,,,,,,,,-2793.0
,,,,,,,,,,
,,,,,,,,,,2375.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,52787.0,,
,,,,,,,,,,
,,,,40510.0,,,,,,7060.0
,,,,,,,,,,2460.0
,1.0,,,,,,,,,-4188.0
,,,,,,,,,,
,,,,,,,,,,4351.0
,,,,,,,,,,
,,,,,,,,,,
2900000.0,,,5050.0,20100.0,4750.0,,,,1160.0,
1365000.0,,4.75,5310.0,57346.0,5310.0,,,,1130.0,9903.0
,,,,,,,,,,
,,,,,,,,,,3226.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,5728.0
,,,,26300.0,,,,,1960.0,14164.0
,,,,49375.0,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,-3510.0
2050000.0,,,,,,,,,,
,,,,,,,96028.0,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,3750.0
,,,,,,,,,,
,,,,,,1450.0,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,22111.0,,,,,,10737.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,3288.0
,,,,,,,,,,2862.0
3075000.0,,5.0,4550.0,,,1950.0,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,52787.0,,
,,,,,,,,,,
,,,,,,,,,,-2484.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,78408.0,,,,,,
2384000.0,,,,,,,,,,3650.0
1384000.0,,,4290.0,,,1600.0,,,,
1400000.0,,,4290.0,,,1600.0,,,,
,,,,,,,,,,
,,,,,,,,,,5890.0
,,,,64904.0,,,,,,7404.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,1590.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,4632.0
,,,,,,,,,,4632.0
,,,,45004.0,,,,,,9223.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,6.0,,,,,,,,,3225.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,53799.0,,
,,,,,,,,,,
,,,,,,,,,,-5476.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,-66861.0
,,,,43995.0,,,,,,29231.0
,,,,,,,,,,
,,,,,,,,,,
,,,,20000.0,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,32633.0,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,1.0,,,,,,,,,-7087.0
,,,,,,,,53799.0,,
,,,,,,,,,,
,,,,,,,,,,
,,,,19800.0,,,,,,-2854.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,77972.0,,,,,,60283.0
,,,,,,,,,,
,,,,29970.0,,,96028.0,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,-3755.0
,,,,,,,,,,
,,,,40438.0,,,,,,-3611.0
,,,,,,,,,,-7049.0
,,,,,,,,,,-6035.0
,,,,69415.0,,,,,,45054.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,3825.0
,,,,,,,,,,3825.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,209959.0,,,,,-1750.0,190091.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1350000.0,,,4800.0,,,,,,,-4025.0
,,,,,,,,53799.0,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,26977.0,,,,,,
,,,,,,,,,,
,,,,,3840.0,,,53799.0,,
,,,,,,,,,,
,,,,,,,,,,
,,,,25600.0,,,,,,15529.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,1580.0,,,1850.0,
,,,,,,,,,,
,,,,22357.0,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,40139.0,,,,,,3287.0
,,,,,,,,,,
,,,,143947.0,,,,,,
,,,,32239.0,,,,,,-4258.0
,,,,,,,,,,
,,,,,,,,,,
,,,,37461.0,,,,,,19166.0
,,,,174240.0,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1550000.0,,4.25,6070.0,171626.0,6070.0,,,,1390.0,-39641.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,27260.0,,,,,,-12220.0
1300000.0,,,,,,,,,-1180.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,19700.0,4040.0,,,,,-2187.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,4870.0,,,,,,1690.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,3320.0
,,,,,,,,,,4057.0
,,,,,,,,,,
,,,,219978.0,,,,,,9584.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1450000.0,,4.5,,24920.0,,,,,1360.0,11082.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,53799.0,,
,,,,,,,,,,
,,,,,,,,,,
,,,,20978.0,,,,,,-54418.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,1.0,,,,,,,,,-2450.0
,,,,,,,,,,
,,,,,,,,,,
,,,,28025.0,,,,,,13192.0
,,,,,,,,,,
,,,,,,,,,,4650.0
,,4.25,,,3840.0,,,,,
1199000.0,,,,,,,,,1290.0,
1150000.0,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1385000.0,,,4860.0,181319.0,4860.0,,,,,
,,,,,,,,,,
,6.0,,4860.0,,3860.0,,,,1260.0,
,,,,,,,,,,
,,,,,,,,,,
1280000.0,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,3670.0
,,,,,,,,,,
,,,,,,,,52787.0,,
,,,,,,,,,,
,,,,19635.0,,1470.0,,,,7225.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1197350.0,,,,,,,,,,-2200.0
,,,,,,,,,,
,,,,,,,,,,-4482.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1485000.0,,3.75,,,4030.0,,,,1870.0,3600.0
,,,,,,,,,,
,,,,,,,,,,
,,,4410.0,57063.0,4410.0,,96028.0,,1510.0,6534.0
,,,,,,,,,,7524.0
,,,,,,,,,,
,,,,,,,,,,
,,,,39150.0,,,,,,27339.0
,,,,,,,,,,
2250000.0,,,4760.0,,,,,52787.0,1810.0,
,,,,194278.0,,,,,,16118.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,96028.0,,,
1600000.0,6.0,5.0,6050.0,230652.0,6050.0,,,,1840.0,-3319.0
,,,,,,,,,,
,,,,36947.0,,,,,,8110.0
,,,,,,,,,,
,,,,,,,,,,
,,,4740.0,76230.0,4740.0,,,,1400.0,27024.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2125000.0,,,5403.0,24069.0,5403.0,,,,1423.0,-80305.0
,,,,,,,,,,
,,,,,,,,,,
,,,,40518.0,,,,,,27026.0
,,,,,,,,,,4021.0
,,,,29242.0,,,,,,4514.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,8772.0
,,,,,,,,,,2375.0
,,,,,,,,53799.0,,
1450000.0,,,4380.0,,,,,,1300.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,29170.0,,,,,,
1950000.0,7.0,,4640.0,,,1780.0,,53799.0,1410.0,-5462.0
,,,,,,,,,,
,6.0,,,,,,,,,
,,,,,,,,,,
,,,,108900.0,,,,,,43560.0
,,,,217014.0,,,,,,109116.0
,,,,,,,,,1240.0,-2832.0
,,,,22370.0,4120.0,,,,,15113.0
,,,,,,,,,,
,,,,,,,96028.0,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,-10317.0
,,,,,,,,,,
,,4.0,,,,,,,,
,,,,,,,,,1480.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,75794.0,,,,,,-22216.0
,,,,,,,,,,
,,4.0,6050.0,84942.0,4150.0,1900.0,,,3350.0,-114562.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,217800.0,,,96028.0,,,51837.0
,,,,32666.0,,,,,,-10894.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,4711.0
,,,,,,,,,,
1220000.0,,,,,,,,53799.0,,
,,,,,,,96028.0,,,
,,,,31465.0,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,1450.0,,,1500.0,4938.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,-3558.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,34293.0,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,1180.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,1760.0,,,1120.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,1.0,,,26326.0,,,,,,15718.0
,,,,,,,,,,
,,,,,,,,,,-2620.0
,,,,36400.0,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
3070000.0,,,,55867.0,,1600.0,,,1200.0,29543.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,22267.0,,,,,,6642.0
,,,,,,,,,,3040.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,3287.0
1250000.0,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,-4000.0
,,,,,,,,,,9431.0
,,,,,,,,,,
1145000.0,,,4370.0,,4370.0,,,,,4720.0
,,,,,,,,,,
,,,,209523.0,,,96028.0,,,-3921.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1484900.0,,,4570.0,19252.0,4570.0,,,53799.0,1390.0,5938.0
,,,,,,,,,,
,,,,,,,,,,
,,,,23488.0,,,96028.0,,,-11101.0
,,,,,,,,,,
,,,,25958.0,,,,,,4391.0
,,,,,,,,,,
,,,,26055.0,,,,,,12580.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,-1180.0,
,,,,,,,,,,
,,,,,,,,,,3982.0
,,,,,,,,,,
,,,,39478.0,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,6.0,,,,,,,,1540.0,5337.0
,6.0,,,,,,,,1540.0,5337.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1578000.0,,,4670.0,51836.0,4670.0,,,,,10761.0
,,,,,,,,,,
,,,,,,,,,,-2500.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,37769.0,4230.0,,,,,
,,,,,,,,,,
,,,,,,,,,,5985.0
,,,,,,,,,,
,,,,,,,,,,-5950.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1300000.0,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,72745.0,,,,,,17860.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,-3300.0
,,,,,,,,,,
,,,,,,,96028.0,,,
,,,,,,,,52787.0,,
,,,,,,,,,,
,,,,,,1720.0,,,,
1310000.0,,,,,,,,,,
,,,,,,,,,,3353.0
,,,,,,,,,1350.0,
,,,,22594.0,,,96028.0,,,-10747.0
,,,,,,,,,,
,,,,218252.0,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,31400.0,,,,,,-3100.0
,,,,,,,,,,
,,,,,,,,,,3169.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,-2571.0
,,,,,,,,,,
,,,,,,,,,,
2250000.0,,4.25,4860.0,,,1760.0,,52787.0,1710.0,
,,,,23680.0,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,3348.0
,6.0,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,40419.0,,,,,,-22743.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1355000.0,,,,,,,,,,
,,,,,,,,,,
,,,,34133.0,,,,,,8341.0
,,,,,,,,,,3372.0
,,,,36276.0,,,96028.0,,,3105.0
,,,,,,,,,,
,,,,,,,,,,
,,,4270.0,40097.0,4270.0,,,,,3948.0
,,,,,,,,,,
1216000.0,,,,,,1510.0,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,96028.0,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,36085.0,,,,,,
2400000.0,,4.25,4890.0,,,1800.0,,53799.0,1420.0,
,,,,,,,,,1340.0,5976.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,57381.0,,,,,,-44148.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,24931.0,,,,,,6625.0
,,,,,,,,,,
,,,,,,,,,,7480.0
,,,,,,,,,,
,6.0,,,25600.0,,,,,,15370.0
,,,,,,,,,,-4503.0
,,,,,,,,,,
,,,,,,,96028.0,,,
,,,,,,,96028.0,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,30736.0,,,,,,
,,,,35287.0,,,,,,-12629.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,1810.0,,,1470.0,3244.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,-11550.0
,,,,,,,,,,
,,,,23899.0,,,,,,-10001.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,2529.0
,,,,213444.0,,,,,-1120.0,
,,,,,,,,,,
,1.0,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,1460.0,,,,2662.0
,,,,,,,,,,
,,,,,,,,,,
,0.0,0.0,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,2826.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,2570.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1270000.0,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,25341.0,,,96028.0,,,-7076.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,53799.0,,
,,,,28243.0,,,,,,-3887.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,53799.0,,
,,,,50308.0,,,,,,12417.0
,,,,,,,,,,4281.0
,1.0,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,3135.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,5160.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,53799.0,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,262018.0,,,,,,242207.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,2962.0
,,,,35026.0,,,,,,
,,,,,,,,,,
1200000.0,,,,22410.0,,1830.0,,,,14160.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,47916.0,,,,,,-27442.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,4390.0,,,,,,2380.0,
,,,,,,,,52787.0,1290.0,
,,,,23568.0,,,,,,13443.0
,,,,,,,,,,-2114.0
1321500.0,,,,,,,,,,2808.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,-1270.0,
,,,,,,,,,,
,,,,,,,,,,-2441.0
,,,,,,,,,,2732.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,-2388.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,43101.0,,,,,,9654.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,-3000.0
,,,,,,,,,-1050.0,3535.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,24759.0,,,,,,2956.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,1590.0,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,20917.0,,,,,,14917.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,217800.0,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,44431.0,,,,,,
,,,,,,,,,,
,,,,,,,,,-1150.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,47045.0,,,,,,36045.0
,,,,,,,,,,
,,,,21810.0,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,2429.0
,,,,,,,,,,
,,,,,,,,,,
