sqft_living,grade,sqft_above,medn_incm_per_prsn_amt,bathrooms,per_prfsnl,per_bchlr,dif_sqft_living,view,sqft_basement,bedrooms,lat,medn_hshld_incm_amt,waterfront,floors,basement,renovated,sqft_lot,per_urbn,dif_sqft_lot,condition,long,yr_built,per_assoc,per_9_to_12,per_hsd,price
1560,7,1400,37695.0,2.75,9.0,21.0,-650,0,160,3,47.7695,82922.0,0,1.0,True,False,77536,96.0,36087,3,-122.126,1978,5.0,3.0,11.0,477807.88
2290,9,2290,28398.0,2.5,12.0,23.0,-390,0,0,4,47.6194,48606.0,0,2.0,False,False,13416,100.0,-269,4,-122.151,1981,5.0,5.0,13.0,638858.6
1160,7,860,34026.0,1.75,20.0,30.0,-90,0,300,2,47.6937,58475.0,0,1.0,True,False,6828,100.0,0,3,-122.298,1941,4.0,2.0,8.0,473420.25
2500,7,1540,26547.0,2.0,4.0,15.0,540,0,960,4,47.3708,68180.0,0,1.0,True,False,36900,75.0,0,3,-122.049,1972,6.0,4.0,15.0,338541.7
1750,7,1330,26547.0,2.5,4.0,15.0,80,0,420,3,47.352,68180.0,0,1.0,True,False,6725,75.0,-1019,3,-122.058,1993,6.0,4.0,15.0,331461.3
1900,7,1290,28904.0,1.0,7.0,16.0,-50,0,610,4,47.4629,50310.0,0,1.0,True,False,9000,100.0,-1800,4,-122.361,1948,6.0,6.0,19.0,322397.0
2410,10,2410,36862.0,2.5,11.0,27.0,100,0,0,3,47.6911,68923.0,0,2.0,False,False,9916,100.0,1704,4,-122.103,1989,5.0,3.0,9.0,832692.0
1120,7,1000,17407.0,1.5,3.0,10.0,-440,0,120,2,47.534,40815.0,0,2.0,True,False,1312,100.0,-2,3,-122.364,2004,5.0,9.0,17.0,380004.56
1340,7,1340,25219.0,1.75,4.0,12.0,-180,0,0,3,47.364,66051.0,0,1.0,False,False,16480,97.0,6029,4,-122.162,1968,5.0,6.0,18.0,236404.12
760,6,760,34026.0,1.0,20.0,30.0,-830,0,0,2,47.6914,58475.0,0,1.0,False,False,6380,100.0,0,3,-122.31,1941,4.0,2.0,8.0,402886.2
1150,7,1150,27570.0,1.5,6.0,15.0,-490,0,0,3,47.4629,65674.0,0,1.0,False,False,11475,0.0,0,3,-121.744,1971,4.0,6.0,17.0,317764.9
3120,8,1660,37754.0,1.5,14.0,29.0,220,3,1460,4,47.646,59542.0,0,1.0,True,False,7680,100.0,0,3,-122.39,1956,4.0,2.0,10.0,975719.5
3490,10,2280,37754.0,2.25,14.0,29.0,950,0,1210,4,47.6424,59542.0,0,2.0,True,False,6906,100.0,683,4,-122.407,1928,4.0,2.0,10.0,1.1389904e+06
1740,8,1740,41838.0,2.5,13.0,24.0,0,0,0,3,47.5772,91146.0,0,2.0,False,False,4960,95.0,-61,3,-121.998,1992,5.0,2.0,7.0,499179.25
1660,8,1660,25219.0,2.0,4.0,12.0,170,0,0,3,47.3663,66051.0,0,2.0,False,False,8641,97.0,0,4,-122.088,1987,5.0,6.0,18.0,269995.2
2110,7,2110,25219.0,2.5,4.0,12.0,-190,0,0,4,47.3612,66051.0,0,2.0,False,False,4178,97.0,36,3,-122.081,2013,5.0,6.0,18.0,328152.22
2090,7,2090,21411.0,2.5,3.0,11.0,0,0,0,4,47.3986,50958.0,0,2.0,False,False,5195,100.0,-41,3,-122.166,2007,6.0,6.0,19.0,330566.44
2330,9,2330,41838.0,2.75,13.0,24.0,-80,0,0,4,47.5525,91146.0,0,2.0,False,False,3920,95.0,-143,3,-121.99,2005,5.0,2.0,7.0,684010.1
880,6,880,25219.0,1.0,4.0,12.0,-60,0,0,3,47.3634,66051.0,0,1.0,False,False,18109,97.0,6916,4,-122.101,1970,5.0,6.0,18.0,263982.0
1090,6,1090,26721.0,1.0,5.0,18.0,0,0,0,3,47.494,53608.0,0,1.0,False,False,7315,100.0,1515,5,-122.165,1981,5.0,5.0,18.0,285938.94
1180,6,1180,26547.0,2.0,4.0,15.0,-130,0,0,2,47.3491,68180.0,0,2.0,False,False,3003,75.0,0,3,-122.02,2005,6.0,4.0,15.0,264376.12
3100,10,3100,36862.0,2.75,11.0,27.0,-40,0,0,4,47.6859,68923.0,0,2.0,False,False,7501,100.0,-1171,3,-122.109,1998,5.0,3.0,9.0,969316.2
1000,7,800,37506.0,1.0,12.0,25.0,-60,0,200,2,47.5671,54563.0,0,1.0,True,False,4950,100.0,-550,3,-122.394,1948,5.0,3.0,15.0,378794.88
1820,7,1150,26550.0,1.75,5.0,16.0,210,0,670,4,47.4567,63680.0,0,1.0,True,False,7381,94.0,-1081,5,-122.171,1962,5.0,5.0,17.0,308812.12
1940,7,1460,27639.5,2.5,7.5,19.0,190,0,480,3,47.3491,56933.0,0,1.0,True,False,8547,100.0,744,3,-122.177,1989,5.0,5.0,15.0,327727.06
1200,6,980,17407.0,1.0,3.0,10.0,160,0,220,2,47.5276,40815.0,0,1.0,True,False,4880,100.0,0,3,-122.346,1943,5.0,9.0,17.0,294402.06
2150,8,2150,18741.0,2.5,2.0,6.0,0,0,0,4,47.3363,36991.0,0,2.0,False,False,3721,99.0,0,3,-122.215,2007,5.0,11.0,25.0,335436.62
2960,10,2960,27639.5,2.5,7.5,19.0,-360,0,0,3,47.5906,56933.0,0,2.0,False,False,6856,100.0,0,3,-122.057,2009,5.0,5.0,15.0,773444.0
1020,7,1020,26721.0,1.0,5.0,18.0,-90,0,0,3,47.5121,53608.0,0,1.0,False,False,13504,100.0,2346,5,-122.17,1959,5.0,5.0,18.0,295164.47
1740,7,1740,25219.0,2.5,4.0,12.0,-210,0,0,3,47.3697,66051.0,0,2.0,False,False,4497,97.0,11,3,-122.117,2012,5.0,6.0,18.0,283371.6
4580,10,4580,27639.5,4.0,7.5,19.0,1870,4,0,5,47.5682,56933.0,1,3.0,False,False,4443,100.0,0,3,-122.059,2004,5.0,5.0,15.0,2.0494446e+06
1790,7,1670,22518.0,2.0,4.0,10.0,-650,1,120,4,47.3965,46628.0,0,1.0,True,False,14690,99.0,4026,4,-122.321,1960,6.0,9.0,20.0,307401.12
1600,7,1600,24011.0,2.5,3.0,10.0,0,0,0,3,47.3314,60534.0,0,2.0,False,False,2231,99.0,-731,3,-122.29,2003,6.0,7.0,20.0,228877.88
1770,8,1770,24011.0,2.5,3.0,10.0,-430,0,0,3,47.3196,60534.0,0,1.0,False,False,9450,99.0,868,3,-122.272,1988,6.0,7.0,20.0,254408.64
1560,7,1560,34026.0,2.0,20.0,30.0,-340,0,0,3,47.6892,58475.0,0,2.0,False,True,4080,100.0,0,3,-122.319,1923,4.0,2.0,8.0,535188.8
2643,8,2643,27639.5,2.5,7.5,19.0,237,0,0,4,47.3519,56933.0,0,2.0,False,False,5750,100.0,-22,3,-122.173,2012,5.0,5.0,15.0,446871.6
3420,8,2700,24746.0,3.5,5.0,16.0,710,2,720,5,47.5162,60658.0,0,2.0,True,False,6403,0.0,365,3,-121.874,2013,5.0,6.0,17.0,584988.5
2280,8,2280,25505.0,1.75,4.0,11.0,0,0,0,3,47.291,62478.0,0,1.0,False,False,139392,84.0,22216,3,-122.118,1977,6.0,7.0,19.0,346299.1
2400,7,1210,26721.0,2.0,5.0,18.0,640,0,1190,5,47.5112,53608.0,0,1.0,True,False,9537,100.0,4,5,-122.186,1959,5.0,5.0,18.0,383774.84
2750,8,2130,40315.0,2.0,16.0,30.0,1460,0,620,4,47.6513,49222.0,0,2.0,True,True,5527,100.0,3763,3,-122.368,1901,5.0,2.0,10.0,944462.8
2470,8,2470,24746.0,2.5,5.0,16.0,70,0,0,4,47.5362,60658.0,0,2.0,False,False,3811,0.0,-455,3,-121.877,1999,5.0,6.0,17.0,476058.6
750,6,750,25844.0,1.0,7.0,16.0,-180,0,0,2,47.5312,47519.0,0,1.0,False,False,5120,100.0,-2080,4,-122.375,1941,5.0,7.0,16.0,259713.73
3210,10,3210,28398.0,2.5,12.0,23.0,260,0,0,4,47.625,48606.0,0,2.0,False,False,8532,100.0,1779,3,-122.144,1998,5.0,5.0,13.0,904477.75
1430,7,1430,34109.0,1.75,11.0,24.0,-260,0,0,3,47.5223,70085.0,0,1.0,False,False,16200,80.0,3075,4,-122.043,1967,6.0,3.0,12.0,375877.28
1430,6,1430,28904.0,1.5,7.0,16.0,-130,0,0,3,47.4759,50310.0,0,1.0,False,False,8960,100.0,-1165,4,-122.349,1953,6.0,6.0,19.0,239935.7
1650,7,1010,27709.0,1.75,7.0,20.0,-190,0,640,4,47.7721,61329.0,0,1.0,True,False,7276,100.0,-1274,3,-122.206,1977,6.0,4.0,15.0,406698.5
1670,8,1670,41838.0,2.25,13.0,24.0,-180,0,0,3,47.5688,91146.0,0,2.0,False,False,5004,95.0,-272,3,-122.017,1987,5.0,2.0,7.0,476045.75
2010,8,2010,28696.0,2.5,5.0,17.0,590,0,0,4,47.4821,61361.0,0,1.5,False,False,16020,87.0,0,5,-122.108,1962,6.0,6.0,17.0,358269.97
2610,8,2610,21092.0,2.5,4.0,10.0,330,0,0,4,47.2721,43027.0,0,2.0,False,False,7333,100.0,-1700,3,-122.293,1988,6.0,8.0,20.0,348317.56
2030,7,1530,28904.0,2.5,7.0,16.0,-370,0,500,4,47.4413,50310.0,0,1.0,True,False,39049,100.0,24444,4,-122.345,1953,6.0,6.0,19.0,333971.56
1560,7,1560,24011.0,2.5,3.0,10.0,50,0,0,3,47.2653,60534.0,0,2.0,False,False,4800,99.0,-7440,4,-122.285,1974,6.0,7.0,20.0,214220.95
2830,9,2830,27639.5,2.75,7.5,19.0,-660,0,0,4,47.5903,56933.0,0,2.0,False,False,10240,100.0,0,4,-121.986,1998,5.0,5.0,15.0,769620.9
1470,7,1470,25219.0,2.0,4.0,12.0,-250,0,0,3,47.3617,66051.0,0,1.0,False,False,16500,97.0,2094,3,-122.061,1961,5.0,6.0,18.0,246683.44
2160,8,2160,28918.0,1.5,11.0,28.0,710,2,0,5,47.6645,42195.0,0,1.5,False,False,5000,100.0,735,4,-122.36,1926,5.0,5.0,14.0,776623.6
3266,8,3266,24314.0,3.25,4.0,13.0,179,0,0,4,47.2975,57411.0,0,2.0,False,False,5398,100.0,246,3,-122.35,2014,6.0,5.0,16.0,472209.56
4060,10,4060,22672.0,4.5,2.0,10.0,2230,0,0,4,47.4241,40618.0,0,2.0,False,False,10800,99.0,1032,3,-122.29,2007,6.0,9.0,24.0,979935.75
1370,8,1370,28918.0,3.25,11.0,28.0,50,0,0,3,47.6704,42195.0,0,3.0,False,False,1194,100.0,-23,3,-122.391,2005,5.0,5.0,14.0,494309.16
1340,8,1150,36862.0,2.5,11.0,27.0,60,0,190,2,47.6858,68923.0,0,2.0,True,False,1240,100.0,-72,3,-122.102,2008,5.0,3.0,9.0,477143.3
1690,7,1690,49107.0,1.75,15.0,28.0,-160,0,0,3,47.6079,63358.0,0,1.0,False,False,8489,100.0,-47,4,-122.192,1959,6.0,2.0,9.0,773836.06
1840,7,1270,21411.0,2.25,3.0,11.0,90,0,570,3,47.4075,50958.0,0,1.0,True,False,6750,100.0,-254,4,-122.172,1980,6.0,6.0,19.0,307689.34
2590,9,2590,36862.0,2.5,11.0,27.0,230,0,0,4,47.691,68923.0,0,2.0,False,False,8571,100.0,416,3,-122.105,1988,5.0,3.0,9.0,721439.1
1800,7,900,37754.0,1.75,14.0,29.0,150,0,900,3,47.6529,59542.0,0,1.0,True,False,5816,100.0,0,5,-122.407,1947,4.0,2.0,10.0,619154.25
1450,7,1450,22158.0,1.0,4.0,12.0,-230,0,0,3,47.5056,47461.0,0,1.0,False,False,6776,100.0,-424,3,-122.244,1952,5.0,8.0,20.0,246400.89
2810,8,1860,24011.0,2.25,3.0,10.0,790,0,950,4,47.2993,60534.0,0,2.0,True,False,25990,99.0,9850,3,-122.293,1959,6.0,7.0,20.0,239094.36
2710,8,2710,26547.0,2.75,4.0,15.0,0,0,0,5,47.3555,68180.0,0,2.0,False,False,4685,75.0,236,3,-122.062,2014,6.0,4.0,15.0,433489.1
4210,9,3280,28696.0,3.75,5.0,17.0,390,0,930,6,47.5211,61361.0,0,2.0,True,False,6105,87.0,-263,3,-122.157,2008,6.0,6.0,17.0,759266.9
1088,6,1088,24011.0,1.0,3.0,10.0,0,0,0,2,47.2685,60534.0,0,1.0,False,True,8453,99.0,437,3,-122.231,1952,6.0,7.0,20.0,191644.22
2620,8,2620,26550.0,3.0,5.0,16.0,560,0,0,4,47.4239,63680.0,0,2.0,False,False,214750,94.0,2613,3,-122.068,1992,5.0,5.0,17.0,471321.56
2440,9,2440,27639.5,2.5,7.5,19.0,-130,0,0,4,47.6374,56933.0,0,2.0,False,False,6733,100.0,237,3,-122.064,1999,5.0,5.0,15.0,592127.25
1120,6,750,25844.0,1.0,7.0,16.0,-410,1,370,2,47.5421,47519.0,0,1.0,True,False,5329,100.0,-1,3,-122.378,1929,5.0,7.0,16.0,360571.62
1340,7,1340,21411.0,1.75,3.0,11.0,-30,0,0,3,47.4182,50958.0,0,1.0,False,False,7210,100.0,0,4,-122.167,1975,6.0,6.0,19.0,253756.0
1860,7,1110,26501.0,2.0,9.0,22.0,180,0,750,3,47.6102,32085.0,0,1.5,True,False,3600,100.0,-95,3,-122.296,1915,6.0,7.0,13.0,536208.25
2080,8,1330,21327.0,1.75,4.0,11.0,290,0,750,4,47.3749,42042.0,0,1.0,True,False,8750,98.0,0,4,-122.291,1967,5.0,8.0,21.0,310354.12
1250,7,1250,28918.0,2.0,11.0,28.0,-70,0,0,3,47.6705,42195.0,0,3.0,False,False,1306,100.0,0,3,-122.39,2000,5.0,5.0,14.0,400516.34
3580,10,3580,37695.0,3.0,9.0,21.0,40,0,0,4,47.7577,82922.0,0,1.5,False,False,35261,96.0,-1489,3,-122.134,1985,5.0,3.0,11.0,1.01354294e+06
2430,10,2430,34109.0,2.5,11.0,24.0,-480,0,0,3,47.4664,70085.0,0,2.0,False,False,54059,80.0,4401,3,-121.992,1987,6.0,3.0,12.0,665475.0
1240,8,1240,28918.0,2.5,11.0,28.0,0,0,0,2,47.6718,42195.0,0,3.0,False,False,1249,100.0,-1251,3,-122.386,2006,5.0,5.0,14.0,459068.5
1860,7,1460,29747.0,1.75,8.0,20.0,-40,0,400,4,47.7097,60043.0,0,1.0,True,False,9750,100.0,837,3,-122.202,1969,6.0,4.0,14.0,418914.72
2330,7,1360,34026.0,1.75,20.0,30.0,230,0,970,5,47.6835,58475.0,0,1.5,True,False,3800,100.0,0,3,-122.308,1927,4.0,2.0,8.0,617170.0
2550,7,2550,27639.5,2.5,7.5,19.0,0,0,0,4,47.5928,56933.0,0,2.0,False,False,4630,100.0,-521,3,-122.004,2005,5.0,5.0,15.0,525326.1
